source_biography_page,sent_list,triplet,gpt_annotation,manual_annotation
Andrzej Grzegorczyk,"['From 1950–1968, he worked at a secondary employment for the Faculty of Mathematics and Mechanics of the University of Warsaw, in 1957 he was awarded by the Stefan Banach Prize of the Polish Mathematical Society, in 1961 he was appointed an associate professor of mathematics.', ""When a famous Dutch logician Evert Willem Beth died in 1964, the University of Amsterdam offered him the position of the head of the chair after Beth, he came to Amsterdam for few months and returned to Warsaw because he could not find a mental place for himself in the Netherlands, at this time on the eve of the cultural revolution which made Amsterdam the 'magic centre' of Europe."", 'In the aftermath of the March 1968 Polish political crisis, as a result of a long-lasting confirmed direct involvement into the anti-governmental oppositional actions such like signing every open letter against restriction onto freedoms under communist regime, the inconvenient political circumstances motivated him to leave the University of Warsaw for the Institute of Mathematics of the PAS, where, in the 1960s, he was appointed the head of the Department of Foundations of Mathematics after Andrzej Mostowski left this position and remained the head of the Chair of Foundations of Mathematics at the University of Warsaw.', 'He was a member of the Warsaw branch of the Club of Catholic Intelligentsia, particularly he was appointed a deputy president in 1972–1973 and a member of the government in 1973–1974 and 1976–1978, formed in 1956 after the Gomułka Thaw to stimulate independent thought and inform Polish Catholics on the Catholic philosophy in the countries outside the Eastern Bloc.', 'His model of the Catholic-Orthodox ecumenism found a good realization in the collaboration with the Russian Orthodox priest Alexander V. Men of Moscow, an eminent chaplain of independent Russian intellectuals who was murdered in 1990.', ""In 1990, he took an early retirement and enhanced his organizational activity for the Polish philosophical academia as a director of research grant The Hundred Years of the Lwów–Warsaw School, within which there he organized a huge conference in Warsaw and Lvov on the occasion of Kazimierz Twardowski's centenary as the head of a chair at the former Jan Kazimierz University of Lwów, and translation of his book to Ukrainian language.""]","['Andrzej Grzegorczyk', '1990', 'Warsaw']",True,True
Gala (singer),"[""Throughout 2017 and 2018, Gala headlined the 'Love the 90s' tour in Spain, with shows for over 20.000 people at the Palau De Les Arts Reina Sofia in Valencia, the Bizkaia Arena in Bilbao Palau Saint Jordi in Barcelona, the Wiziink Center in Madrid, Parque Hermanos Castro in Gijon  La Alcazaba in Badajoz and Can Fusteret in Mallorca."", 'On 30 June 2018, Gala headlined the Gay Pride concert held in the main square Plaza De España in Barcelona.', 'Premiering at the 2018 Torino Film Festival, Favola was screened at the prestigious 45th annual Flaiano Film Festival in Pescara in June, where it won the Flaiano Award for best ""Opera Prima""', 'The movie soundtrack was released in June 2018.']","['Gala', '2018', 'Palau De Les Arts Reina Sofia, Valencia']",True,True
Boštjan Zupančič,"['He was also awarded various scholarships such as ""Boris Kraigher"", ""Boris Kidrič"" and ""Dr. Prešeren Award"" (highest available for students) while studying for his Univ. dipl. iur. degree at the Faculty of Law at the University of Ljubljana in Slovenia, between 1966 and 1970.']","[""'He'"", 'between 1966 and 1970', 'Faculty of Law at the University of Ljubljana in Slovenia']",True,True
Gala (singer),"[""Throughout 2017 and 2018, Gala headlined the 'Love the 90s' tour in Spain, with shows for over 20.000 people at the Palau De Les Arts Reina Sofia in Valencia, the Bizkaia Arena in Bilbao Palau Saint Jordi in Barcelona, the Wiziink Center in Madrid, Parque Hermanos Castro in Gijon  La Alcazaba in Badajoz and Can Fusteret in Mallorca."", 'On 30 June 2018, Gala headlined the Gay Pride concert held in the main square Plaza De España in Barcelona.', 'Premiering at the 2018 Torino Film Festival, Favola was screened at the prestigious 45th annual Flaiano Film Festival in Pescara in June, where it won the Flaiano Award for best ""Opera Prima""', 'The movie soundtrack was released in June 2018.']","['Gala', '2018', 'Parque Hermanos Castro, Gijon']",True,True
Ratko Dostanić,"['In late 2007, Dostanić served as manager of Greek club Veria.', 'In February 2017, Dostanić returned to Veria for the remainder of the season to help the club avoid relegation.']","['Dostanić', 'February 2017', 'Veria']",True,True
Jean-Luc Moulène,"[""Solo exhibitions of Moulène's works have been held at SculptureCenter, New York (2019); Miguel Abreu Gallery (2019, 2017, and 2014); Centre d'art contemporain, Delme (2018); Fondation d'enterprise Hermes, Brussels (2018); Secession, Vienna (2017); Centre Pompidou, Paris (2016-2017); Villa Medici, Rome (2015); Kunstverein Hannover (2014); Dia:Beacon, New York (2012); Carré d'art-Musée d'art contemporain, Nîmes (2009); Culturgest, Lisbon (2007); Musée du Louvre, Paris (2005); and Centre d'Art Contemporain de Genève (2003).""]","['Moulène', '2009', ""Carré d'art-Musée d'art contemporain, Nîmes""]",True,False
Andrzej Grzegorczyk,"[""Already in 1945 at the Philosophical Faculty of the Jagiellonian University in Kraków, supervised by a renowned philosopher of physics Zygmunt Michał Zawirski who in 1938–1939 was the Faculty's dean and in 1937 relocated to Kraków after uninterrupted nine years as the head of the Chair of Theory and Methodology of Sciences of the Adam Mickiewicz University in Poznań and investigated the problems on the borderline of philosophy and physics, Grzegorczyk finished the first higher study by a magister degree in philosophy with the thesis The Ontology of Properties, wherein with a help of Kotarbiński's reism, also propagated by Henryk Hiż, in the formal version by Stanisław Leśniewski, he successfully presented an interpretation of Leśniewski's elementary ontology as a theory of higher logical types.""]","['Zygmunt Michał Zawirski', '1937', 'Kraków']",True,False
Ivan Cankar,"['Ivan Cankar was born in the Carniolan town of Vrhnika near Ljubljana.', 'After finishing grammar school in his hometown, he studied at the Technical High School (Realka) in Ljubljana (1888–1896).', 'The same year, he settled in the Rožnik district of Ljubljana.', 'The most famous of these lectures were ""The Slovene people and the Slovene culture"" (Slovensko ljudstvo in slovenska kultura), delivered in Trieste in 1907, and ""Slovenes and Yugoslavs"" (Slovenci in Jugoslovani), delivered in Ljubljana in 1913.', 'After the outbreak of World War I in 1914, he was again imprisoned in Ljubljana Castle for supposed pro-Serbian attitudes, but was soon released.', 'He moved from Rožnik to the center of Ljubljana, where he died in December 1918, from pneumonia, a complication of the Spanish flu pandemic which was raging at the time.', 'In 1936, his grave was moved to the Žale cemetery in Ljubljana, where he was buried next to his youth friends and fellow authors Dragotin Kette and Josip Murn.']","['""Slovenes and Yugoslavs""', '1913', 'Ljubljana']",True,False
Tomás Badaloni,"['Badaloni was again on the bench in July 2019 versus Huracán in the Copa Argentina, prior to appearing for his professional debut against San Lorenzo on 27 July under Lucas Bernardi; playing for the full duration of a 3–2 defeat, with the centre-forward scoring his first goal in the process.']","['Badaloni', 'July 2019', 'San Lorenzo']",True,False
Albert Arlen,"[""J. C. Williamson's directors Sir Frank Tait and John McCallum attended the final performance and decided to sponsor it for a further six-week season at the Comedy Theatre in Melbourne (from 4 November 1961), directed by John Young.""]","['Sir Frank Tait', '4 November 1961', 'Comedy Theatre, Melbourne']",True,False
Dimash Qudaibergen,"['Kudaibergen released his self-titled debut extended play (EP) on 1 January 2016.', 'In February 2016, his rendition of ""Daididau"" was selected by the European Broadcasting Union to represent Kazakhstan in their ""Around the World in 80 Minutes of Music"" program dedicated to the World Radio Day 2016 that was played by radio stations around the world.', 'Kudaibergen had his first headlined tour from April to December 2016, in celebration of the 25th anniversary of independence of Kazakhstan.', 'In July 2016, he was invited to perform at the Slavic Bazaar opening ceremony in Belarus, where he sang a duet with Nagima Eskalieva, and was also honored to raise the flag of the festival.', 'In 2016 Kudaibergen also served as a judge at Bala Dausy 2016 (Voice of Children 2016).', 'Other performance highlights of Kudaibergen in 2016 included his guest performance at the annual Zhas Kanat Contest; and his performances of ""Diva Dance"" at an Astana Day Concert that was attended by the President of Kazakhstan; of the rap song ""I Am Kazakh"" (with Yerbolat and Alashuly) at Almaty\'s 1000th Birthday Gala Concert; at a UNESCO event in Paris, France; his performance at the Turkic Culture Festival in Seoul, South Korea, performing for the presidents of South Korea, Kazakhstan, Turkey, Kyrgyzstan, Azerbaijan, and Turkmenistan; and he represented Kazakhstan, alongside baritone Sundet Baigozhin, as a guest singer at the Big Opera 2016 TV competition in Russia.', 'In November 2016, the director of Astana Opera State Theatre, Toleubek Alpiyev, invited Kudaibergen to work as an opera singer, stating that his voice would be ""ideal for baroque opera"", but he decided to pursue a career in contemporary music.']","['President of South Korea', '2016', 'Turkic Culture Festival']",True,False
Imran Khan,"[""In national security policy, Khan's government presided over an improved overall security climate with foreign investors expressing greater confidence in the security of their investments in Pakistan."", 'On 5 March 2019, the Khan government formally banned the Hafiz Saeed-led Jamaat-ud-Dawa and its affiliate Falah-e-Insaniat Foundation under the Anti Terrorism Act 1997.', 'In 2019, Pakistan arrested Hafiz Saeed a mastermind of the 26/11 Mumbai attacks also a UN-designated terrorist, and on 8 April 2022 he was sentenced to 31 years in prison.']","['Hafiz Saeed', '2019', 'Pakistan']",True,False
Madeon,"['On 18 September 2021, Madeon premiered the Good Faith Forever Live set at Second Sky music festival in Oakland, California.']","['Madeon', '18 September 2021', 'Second Sky music festival, Oakland, California']",True,False
Debold Sinas,"['During his term at this post, Negros Oriental, a province under his jurisdiction, was the subject of intense scrutiny due to the 2017–19 Negros Island killings which led to Sinas appearing at an August 2019 Senate hearing to explain the increased number of killings in the province.']","['Sinas', 'August 2019', 'Negros Oriental']",True,False
Ilir Meta,"['On January 20, 2017, Meta shared a photo of himself and SMI leader Petrit Vasili at social media during the inauguration of Donald Trump in Capitol, Washington, D.C.']","['Petrit Vasili', 'January 20, 2017', 'Capitol, Washington, D.C.']",True,False
Ub Iwerks,"['Iwerks joined Disney as chief animator on the Laugh-O-Gram shorts series beginning in 1922, but a studio bankruptcy would cause Disney to relocate to Los Angeles in 1923.']","['Iwerks', '1922', 'Laugh-O-Gram shorts series']",True,False
Jean-Luc Moulène,"[""Solo exhibitions of Moulène's works have been held at SculptureCenter, New York (2019); Miguel Abreu Gallery (2019, 2017, and 2014); Centre d'art contemporain, Delme (2018); Fondation d'enterprise Hermes, Brussels (2018); Secession, Vienna (2017); Centre Pompidou, Paris (2016-2017); Villa Medici, Rome (2015); Kunstverein Hannover (2014); Dia:Beacon, New York (2012); Carré d'art-Musée d'art contemporain, Nîmes (2009); Culturgest, Lisbon (2007); Musée du Louvre, Paris (2005); and Centre d'Art Contemporain de Genève (2003).""]","['Moulène', '2018', ""Fondation d'enterprise Hermes, Brussels""]",True,False
The Rolling Stones,"['The Stones played nineteen shows in the US in spring 2013 with various guest stars, including Katy Perry and Taylor Swift, before returning to the UK.', 'They returned to Hyde Park in July and performed the same set list as their 1969 concert at the venue.', 'Hyde Park Live, a live album recorded at the two Hyde Park gigs on 6 and 13 July, was released exclusively as a digital download through iTunes later that month.', 'An award-winning live DVD, Sweet Summer Sun: Live in Hyde Park, was released on 11 November.']","['Rolling Stones', 'spring 2013', 'Hyde Park']",True,False
Connie Francis,"['During the height of the Vietnam War in 1967, Connie Francis performed for US troops.', 'In 1965, Connie Francis participated in that year\'s edition of the annual San Remo Festival, where her team partner Gigliola Cinquetti and she presented ""Ho bisogno di vederti"", which finished on number 5 of the final ranking.', 'Francis returned to San Remo in 1967 to present ""Canta Ragazzina"" with her team partner Bobby Solo.', 'In the US, however, ""Time Alone Will Tell"", Francis\'s cover version of San Remo\'s 1967 winning entry ""Non pensare a me"" which had been presented by Iva Zanicchi and Claudio Villa, peaked at number 94 on Billboard\'s Hot 100 and at number 14 on Billboard\'s AC charts.']","['Francis', '1967', 'San Remo']",True,False
Nina Ynares,"['Nina Ricci Alcantara Ynares-Chiongbian (born October 19, 1970) is a Filipina businesswoman and politician serving as governor of Rizal, Philippines since 2022.']","['Nina Ricci Alcantara Ynares-Chiongbian', 'October 19, 1970', 'Rizal, Philippines']",True,False
Kurt Volker,"['After a short tenure as a CIA analyst, in 1988, Volker joined the United States Department of State as a Foreign Service Officer in the United States Foreign Service.', 'Volker was special assistant to the United States special envoy for Bosnia negotiations, Richard Holbrooke.', 'In July 2005, Volker became the Principal Deputy Assistant Secretary of State for European and Eurasian Affairs, serving in that position until he was appointed United States Permanent Representative to NATO in July 2008 by President George W. Bush.']","['Volker', 'July 2005', 'United States']",True,False
Rachel Corrie,"['In 2004, Alaska composer Philip Munger wrote a cantata about Corrie called The Skies are Weeping, which was scheduled to premiere on April 27 at the University of Alaska Anchorage, where Munger teaches.']","['Philip Munger', '2004', 'University of Alaska Anchorage']",True,False
Dimash Qudaibergen,"['On 5 January 2021, it was announced that for the first time in the history of relations between the United States and Kazakhstan, a Kazakh artist, Dimash Kudaibergen was to take part in the annual Sister Cities International (SCI) event, opening the week of celebrations for the inauguration of the newly elected President of the United States, and included award presentations for the 2020 Eisenhower Peace Prize and the Distinguished Leadership.']","['Dimash Kudaibergen', '5 January 2021', 'United States']",True,False
David Beckham,"[""The abuse that Beckham was receiving from English supporters peaked during England's 3–2 defeat by Portugal in Euro 2000, a match where Beckham set up two goals, when a group of England supporters taunted him throughout the match."", 'England trail by 2 goals to 1.', 'David Beckham scores the goal to take England all the way to the World Cup Finals!', ""On 15 November 2000, following Kevin Keegan's resignation as England manager in October, Beckham was promoted to team captain by the caretaker manager Peter Taylor, and then kept the role under new manager Sven-Göran Eriksson."", 'Beckham played a major role in helping England qualify for the 2002 FIFA World Cup, starring in an impressive 5–1 victory over Germany in Munich.', ""The final step in Beckham's conversion from villain to national hero happened in England's final qualifying game against Greece on 6 October 2001."", 'England needed to win or draw the match to qualify outright for the World Cup, but were losing 2–1 with little time remaining.', ""When Teddy Sheringham was fouled eight yards outside the Greek penalty area, England were awarded a free-kick and Beckham ensured England's qualification with a curling strike of the kind that had become his trademark.""]","['Beckham', '15 November 2000', 'England']",True,False
Rory Markham,"['At the age of 13, Markham began training in Kyokushin and began fighting in full-contact competitions when he was 15, winning all of his matches by knockout despite often being paired against much older opponents.']","['Markham', 'when he was 15', 'full-contact competitions']",True,False
Kim Chiu,"['As one of Philippines highest paid endorsers, Chiu addressed the ongoing Pork Barrel tax scandal and the government\'s alleged misuse of the PDAF in a press conference on August 28, 2013, noting the amount of tax celebrities like herself pay to the government: ""The money isn\'t a joke [...] we pay so much tax and we don\'t know where it\'s going.""']","['Chiu', 'August 28, 2013', 'press conference']",True,False
Frederick Cayley Robinson,"[""Whilst neglected for much of the twentieth century, there has been an increase in the exhibition of Cayley Robinson's work in the twenty-first century:\n2006-7: Chasing Happiness at the Fitzwilliam Museum, Cambridge, which displayed his illustrations for Maurice Maeterlinck's The Blue Bird\n2010: the National Gallery displayed six works by Cayley Robinson including the four panels of the Acts of Mercy mural series, which had been rescued and purchased by the Wellcome Trust in 2007\n2022-23: Many of Cayley Robinson’s artworks featured in the exhibition Modern Pre-Raphaelite Visionaries: British Art, 1880-1930  at the Leamington Spa Art Gallery, 13th May - 18th September 2022 and the Watts Gallery, Compton from October 2022- February 2023).""]","['Cayley Robinson', '2022-23', 'Leamington Spa Art Gallery']",True,False
Gregory Charles Royal,"[""Royal has also written and appeared in the Off-Broadway production God Doesn't Mean You Get To Live Forever, presented in March 2012 at the Baruch Performing Arts Center,and in 2022 at Theatre Row on 42nd Street in New York. https://bfany.org/theatre-row/shows/god-doesnt-mean-you-get-to-live-forever/""]","['Royal', '2022', 'Theatre Row on 42nd Street in New York']",True,False
Willy Gort,"['Wilfredo Gort de los Llanos (born November 9, 1940 in Havana, Cuba) is a Cuban-American politician.', 'Gort is the son of photographer, Alfredo “Willy” Gort (1909–2003) and Miami Cuban civic leader, Esther de los Llanos de Gort (1915–1984).', 'He and his parents fled Cuba in 1952 after Fulgencio Batista overthrew the government and moved to Miami.', 'In 1959, after Fidel Castro came to power, he returned to Cuba for 3 days and again went into exile.']","['Fidel Castro', '1959', 'Cuba']",True,False
Terje Rød-Larsen,"['When serving as the Director of the Fafo institute in the early 1990s, Rød-Larsen became a key figure in the 1990s negotiations that led to the Oslo Accords --  the first-ever agreements between Israel and the Palestine Liberation Organization (PLO).', 'She was able to facilitate high-level contacts with the Norwegian foreign minister, Johan Jørgen Holst, who was instrumental in reaching the Oslo Accords -- leading to the peace agreement signing on September 13, 1993 in Washington D.C.']","['Rød-Larsen', 'early 1990s', 'Oslo Accords']",True,False
Jean-Luc Moulène,"[""Moulène's works have been exhibited in the Venice Biennial (2019, 2003); the Taipei Biennial (2016 and 2004); the Sharjah Biennial (2010); the First International Biennial of the Image (Laos, 2007); the Sao Paulo Biennial (2002); and Documenta X (1997)."", ""Solo exhibitions of Moulène's works have been held at SculptureCenter, New York (2019); Miguel Abreu Gallery (2019, 2017, and 2014); Centre d'art contemporain, Delme (2018); Fondation d'enterprise Hermes, Brussels (2018); Secession, Vienna (2017); Centre Pompidou, Paris (2016-2017); Villa Medici, Rome (2015); Kunstverein Hannover (2014); Dia:Beacon, New York (2012); Carré d'art-Musée d'art contemporain, Nîmes (2009); Culturgest, Lisbon (2007); Musée du Louvre, Paris (2005); and Centre d'Art Contemporain de Genève (2003).""]","['Moulène', '2019', 'Miguel Abreu Gallery']",True,False
Ken Blaiklock,"['From 1959 to 1961, Blaiklock joined the second Belgian Antarctic Expedition with Captain Bastin which failed to reach the South Pole.']","['Blaiklock', '1959 to 1961', 'second Belgian Antarctic Expedition']",True,False
Aya Takano,"['•""To Lose Is To Gain"", Galerie Perrotin, Paris, France\n2011 \t\n• SieboldHuis, Leiden, Netherlands\n2010 \t\n•""Rooms of the World"", Kaikai Kiki Gallery, Taipei, Taiwan\n•""Aya Takano"", Museum Frieder Burda, Baden-Baden, Germany\n•Hong Kong Art Fair, Booth Galerie Emmanuel Perrotin, Hong Kong\n2009 \t\n•""Reintegrating Worlds,"" Skarstedt Gallery, New York City\n2008\n•""Toward Eternity"" Galerie Emmanuel Perrotin, Paris, France\n2007\n•""Wild dogs, hawks, owls, cats, a landfill the size of 44 and a half Tokyo Domes, the stratosphere"", Galerie Emmanuel Perrotin, Miami, USA\n•""Tradition and modernity"", curated by Hélène Kelmachter, Miró Foundation, Barcelona, Spain\n2006\n•""Aya Takano"", Musée d’Art Contemporain, Lyon, France\n•""City Dog"", Parco Gallery, Tokyo, Japan; Parco Gallery, Nagoya, Japan\n2005\n• Frieze Art Fair, London, United Kingdom\n•""The Far Reaches of The Universe, My Garden"", Blum & Poe Gallery, Santa Monica, United States\n2004\n•""Aya Takano, a web project for Digital Gallery"", Museum of Contemporary Art, Los Angeles, United States\n• Naoki Takizawa for Issey Miyake, 2004-5 Autumn Winter Collection, Paris, Tokyo (collaboration)\n2003\n•Galerie Emmanuel Perrotin, Paris, France\n2002\n• Space Ship EE, nanogalerie, Paris, France\n2000\n• ""Hot Banana Fudge"", NADiff, Tokyo, Japan\n1997\n• ""SHU WA KIMASERI"", shop33, Tokyo, Japan']","['""Galerie Emmanuel Perrotin""', '2007', 'Miami, USA']",True,False
Dimash Qudaibergen,"['Kudaibergen released his self-titled debut extended play (EP) on 1 January 2016.', 'In February 2016, his rendition of ""Daididau"" was selected by the European Broadcasting Union to represent Kazakhstan in their ""Around the World in 80 Minutes of Music"" program dedicated to the World Radio Day 2016 that was played by radio stations around the world.', 'Kudaibergen had his first headlined tour from April to December 2016, in celebration of the 25th anniversary of independence of Kazakhstan.', 'In July 2016, he was invited to perform at the Slavic Bazaar opening ceremony in Belarus, where he sang a duet with Nagima Eskalieva, and was also honored to raise the flag of the festival.', 'In 2016 Kudaibergen also served as a judge at Bala Dausy 2016 (Voice of Children 2016).', 'Other performance highlights of Kudaibergen in 2016 included his guest performance at the annual Zhas Kanat Contest; and his performances of ""Diva Dance"" at an Astana Day Concert that was attended by the President of Kazakhstan; of the rap song ""I Am Kazakh"" (with Yerbolat and Alashuly) at Almaty\'s 1000th Birthday Gala Concert; at a UNESCO event in Paris, France; his performance at the Turkic Culture Festival in Seoul, South Korea, performing for the presidents of South Korea, Kazakhstan, Turkey, Kyrgyzstan, Azerbaijan, and Turkmenistan; and he represented Kazakhstan, alongside baritone Sundet Baigozhin, as a guest singer at the Big Opera 2016 TV competition in Russia.', 'In November 2016, the director of Astana Opera State Theatre, Toleubek Alpiyev, invited Kudaibergen to work as an opera singer, stating that his voice would be ""ideal for baroque opera"", but he decided to pursue a career in contemporary music.']","['Kudaibergen', '2016', 'UNESCO event']",True,False
Imran Khan,"['Subsequently, Khan embarked on a three-day visit to the Kingdom of Saudi Arabia in order to reset ties, where he was personally received at the airport by Mohammad bin Salman.', 'On 9 May 2021, Khan condemned the Israeli police actions at Al-Aqsa Mosque, stating that such actions violated ""all norms of humanity and [international] law"".', 'In August 2021, Khan celebrated the departure of the United States from Afghanistan, describing it as Afghans breaking ""the shackles of slavery"".']","['Mohammad bin Salman', '2021', 'airport']",True,False
Ian Parovel,"['Ian Parovel (born 1983 in France), is a French art director, film director, game designer, screenwriter, and designer living in Saint-Germain-en-Laye.']","['Ian Parovel', 'living', 'Saint-Germain-en-Laye']",True,False
Jean-Luc Moulène,"[""Solo exhibitions of Moulène's works have been held at SculptureCenter, New York (2019); Miguel Abreu Gallery (2019, 2017, and 2014); Centre d'art contemporain, Delme (2018); Fondation d'enterprise Hermes, Brussels (2018); Secession, Vienna (2017); Centre Pompidou, Paris (2016-2017); Villa Medici, Rome (2015); Kunstverein Hannover (2014); Dia:Beacon, New York (2012); Carré d'art-Musée d'art contemporain, Nîmes (2009); Culturgest, Lisbon (2007); Musée du Louvre, Paris (2005); and Centre d'Art Contemporain de Genève (2003).""]","['Moulène', '2014', 'Kunstverein Hannover']",True,False
Ruqayyah Boyer,"['Ruqayyah Boyer was chosen by the new franchise owner, Natasha Martindale as she is currently Miss Universe Guyana 2012, represented Guyana at Miss Universe 2012 in Las Vegas, Nevada and was a finalist in Miss World Guyana 2012.']","['Ruqayyah Boyer', 'Miss Universe 2012', 'Las Vegas, Nevada']",True,False
Frederick Cayley Robinson,"[""Whilst neglected for much of the twentieth century, there has been an increase in the exhibition of Cayley Robinson's work in the twenty-first century:\n2006-7: Chasing Happiness at the Fitzwilliam Museum, Cambridge, which displayed his illustrations for Maurice Maeterlinck's The Blue Bird\n2010: the National Gallery displayed six works by Cayley Robinson including the four panels of the Acts of Mercy mural series, which had been rescued and purchased by the Wellcome Trust in 2007\n2022-23: Many of Cayley Robinson’s artworks featured in the exhibition Modern Pre-Raphaelite Visionaries: British Art, 1880-1930  at the Leamington Spa Art Gallery, 13th May - 18th September 2022 and the Watts Gallery, Compton from October 2022- February 2023).""]","['Cayley Robinson', '2006-7', 'Fitzwilliam Museum, Cambridge']",True,False
Kobe Bryant,"['The following day, the Los Angeles County Department of Medical Examiner-Coroner stated that the official cause of death for him and the eight others on the helicopter was blunt force trauma.', 'On February 28, 2023, Vanessa Bryant was awarded a $28.85 million settlement from Los Angeles County to conclude legal proceedings over graphic photos of the aftermath of the helicopter crash that were shared without the permission of the family.']","['Vanessa Bryant', 'February 28, 2023', 'Los Angeles County']",True,False
