person,year,location,source_biography_page
Wilhelm Pauck,1925,Chicago Theological Seminary,Wilhelm Pauck
Claude Longchamp,1957,Fribourg,Claude Longchamp
Claude Longchamp,1992,the University of Berne,Claude Longchamp
Claude Liauzu,1940,Casablanca,Claude Liauzu
Michel Abitbol,1943,Casablanca,Michel Abitbol
M. Chidananda Murthy,1953,Mysore University,M. Chidananda Murthy
M. Chidananda Murthy,1957,Mysore University,M. Chidananda Murthy
M. Chidananda Murthy,1964,Bangalore University,M. Chidananda Murthy
Ioan Pușcariu,1848,Sibiu,Ioan Pușcariu
Ioan Pușcariu,1861,Sibiu,Ioan Pușcariu
Ioan Pușcariu,1865,Sibiu,Ioan Pușcariu
Vasile Mangra,1916,Sibiu,Vasile Mangra
Ioan Lupaș,1905,Sibiu,Ioan Lupaș
Ioan Pușcariu,1861,Vienna,Ioan Pușcariu
George Phillips (canon lawyer),1832,Vienna,George Phillips (canon lawyer)
George Phillips (canon lawyer),1851,Vienna,George Phillips (canon lawyer)
Heinrich Srbik,1922,Vienna,Heinrich Srbik
Heinrich Srbik,1945,Vienna,Heinrich Srbik
Michael Gehler,2013,Vienna,Michael Gehler
Natko Nodilo,1861,Vienna,Natko Nodilo
Niculae M. Popescu,1908,Vienna,Niculae M. Popescu
Pavle Julinac,1761,Vienna,Pavle Julinac
Edith Saurer,1942,Vienna,Edith Saurer
Emil Vojnović,1915,Vienna,Emil Vojnović
Oliver Rathkolb,1955,Vienna,Oliver Rathkolb
Emil Szántó,1857,Vienna,Emil Szántó
Erna Lesky,1972,Vienna,Erna Lesky
Ernst Molden,1886,Vienna,Ernst Molden
Georg Altmütter,1787,Vienna,Georg Altmütter
Georg Altmütter,1816,Vienna,Georg Altmütter
Gerald Stourzh,1929,Vienna,Gerald Stourzh
Gerald Stourzh,1947,Vienna,Gerald Stourzh
Gerald Stourzh,1962,Vienna,Gerald Stourzh
Ljiljana Radonić,1981,Vienna,Ljiljana Radonić
Jonny Moser,1964,Vienna,Jonny Moser
Ladislaus Sunthaym,1460,Vienna,Ladislaus Sunthaym
Ladislaus Sunthaym,1465,Vienna,Ladislaus Sunthaym
Ladislaus Sunthaym,1504,Vienna,Ladislaus Sunthaym
Hermann Josef Roth,1957,Vienna,Hermann Josef Roth
Verena Winiwarter,1961,Vienna,Verena Winiwarter
Verena Winiwarter,1979,Vienna,Verena Winiwarter
Juan Friede,1922,Vienna,Juan Friede
Filippo Riceputi,1695,Vienna,Filippo Riceputi
Zdeněk Kárník,1998,Vienna,Zdeněk Kárník
Leo Stern (historian),1921,Vienna,Leo Stern (historian)
Leo Stern (historian),1927,Vienna,Leo Stern (historian)
Leo Stern (historian),1933,Vienna,Leo Stern (historian)
Leo Stern (historian),1945,Vienna,Leo Stern (historian)
Zeki Velidi Togan,1935,Vienna,Zeki Velidi Togan
Paul George Konody,1889,Vienna,Paul George Konody
Max Neuburger,1868,Vienna,Max Neuburger
Richard Grunberger,1924,Vienna,Richard Grunberger
Leo Kofler,1927,Vienna,Leo Kofler
Leo Kofler,1929,Vienna,Leo Kofler
A. Leo Oppenheim,1933,Vienna,A. Leo Oppenheim
Dipesh Chakrabarty,2014,Vienna,Dipesh Chakrabarty
Tamara Scheer,1979,Vienna,Tamara Scheer
Alfred Klahr,1904,Vienna,Alfred Klahr
Alice Teichova,1920,Vienna,Alice Teichova
Brigitte Bailer-Galanda,1952,Vienna,Brigitte Bailer-Galanda
Zaharije Orfelin,1780,Vienna,Zaharije Orfelin
Thomas Ebendorfer,1423,Vienna,Thomas Ebendorfer
Oskar Halecki,1891,Vienna,Oskar Halecki
David Flusser,1917,Vienna,David Flusser
Francesco Salata,1934,Vienna,Francesco Salata
Pavel Rovinsky,1878,Vienna,Pavel Rovinsky
Alisz Goriupp,1917,Vienna,Alisz Goriupp
Franjo Rački,1855,Vienna,Franjo Rački
Meilė Lukšienė,1913,Vienna,Meilė Lukšienė
Georg Zappert,1837,Vienna,Georg Zappert
Gregory Weeks,1970,Vienna,Gregory Weeks
Jovan Tošković,1920,Vienna,Jovan Tošković
Alexandru Dimitrie Xenopol,1870,Vienna,Alexandru Dimitrie Xenopol
Samuel Klein (scholar),1927,Vienna,Samuel Klein (scholar)
Peter Lambeck,1677,Vienna,Peter Lambeck
Peter Lambeck,1680,Vienna,Peter Lambeck
Nigel H. Jones,1991,Vienna,Nigel H. Jones
Pavlo Khrystiuk,1919,Vienna,Pavlo Khrystiuk
Peter Paret,1932,Vienna,Peter Paret
Raina Fehl,1920,Vienna,Raina Fehl
Roman Jarymowycz,1945,Vienna,Roman Jarymowycz
Solomon Gandz,1915,Vienna,Solomon Gandz
Gustave E. von Grunebaum,1931,Vienna,Gustave E. von Grunebaum
Ernst Badian,1925,Vienna,Ernst Badian
Herwig Wolfram,1934,Vienna,Herwig Wolfram
Emma Bartoniek,1925,Vienna,Emma Bartoniek
Leopold Janauschek,1877,Vienna,Leopold Janauschek
Leopold Janauschek,1891,Vienna,Leopold Janauschek
Gerda Lerner,1920,Vienna,Gerda Lerner
Johann Matthias Schröckh,1733,Vienna,Johann Matthias Schröckh
Herbert Rosenkranz,1924,Vienna,Herbert Rosenkranz
Heinrich Ritter von Zeissberg,1839,Vienna,Heinrich Ritter von Zeissberg
Heinrich Ritter von Zeissberg,1862,Vienna,Heinrich Ritter von Zeissberg
Heinrich Ritter von Zeissberg,1872,Vienna,Heinrich Ritter von Zeissberg
Heinrich Ritter von Zeissberg,1897,Vienna,Heinrich Ritter von Zeissberg
Erich S. Gruen,1964,Vienna,Erich S. Gruen
Ingo Zechner,2013,Vienna,Ingo Zechner
Friedrich Heer,1916,Vienna,Friedrich Heer
Christian Feest,1963,Vienna,Christian Feest
Christian Feest,2004,Vienna,Christian Feest
Friedrich Weissensteiner,2023,Vienna,Friedrich Weissensteiner
Stanisław Herbst,1965,Vienna,Stanisław Herbst
Lydia Marinelli,1999,Vienna,Lydia Marinelli
Ernst Stein,1923,Vienna,Ernst Stein
Lothar Höbelt,1956,Vienna,Lothar Höbelt
Robert Eisler,1882,Vienna,Robert Eisler
Heinrich Brunner,1866,Vienna,Heinrich Brunner
Salo Wittmayer Baron,1920,Vienna,Salo Wittmayer Baron
Salo Wittmayer Baron,1926,Vienna,Salo Wittmayer Baron
Ioan Pușcariu,1867,Hungary,Ioan Pușcariu
E. A. Thompson,1956,Hungary,E. A. Thompson
Frances Yates,1981,Hungary,Frances Yates
András Bereznay,1978,Hungary,András Bereznay
L. S. Ettre,1946,Hungary,L. S. Ettre
Rodney Hilton,1956,Hungary,Rodney Hilton
John Lukacs,1944,Hungary,John Lukacs
John Lukacs,1946,Hungary,John Lukacs
István Deák,1964,Hungary,István Deák
Ignác Acsády,1875,Hungary,Ignác Acsády
Ignác Acsády,1891,Hungary,Ignác Acsády
Samuel Klein (scholar),1905,Hungary,Samuel Klein (scholar)
Géza Alföldy,1990,Hungary,Géza Alföldy
Miklós Istvánffy,1582,Hungary,Miklós Istvánffy
Ioan Pușcariu,1831,Budapest,Ioan Pușcariu
Jaroslav Miller,2010,Budapest,Jaroslav Miller
Dubravko Lovrenović,2005,Budapest,Dubravko Lovrenović
Nicolae Dobrescu,1905,Budapest,Nicolae Dobrescu
Mózes Csoma,2007,Budapest,Mózes Csoma
András Bereznay,1978,Budapest,András Bereznay
John Komlos,1944,Budapest,John Komlos
Marika Sherwood,1937,Budapest,Marika Sherwood
L. S. Ettre,1956,Budapest,L. S. Ettre
L. S. Ettre,1977,Budapest,L. S. Ettre
Paul George Konody,1872,Budapest,Paul George Konody
Béla Király,2009,Budapest,Béla Király
Ágnes Ságvári,1928,Budapest,Ágnes Ságvári
Ágnes Ságvári,2000,Budapest,Ágnes Ságvári
John Lukacs,1944,Budapest,John Lukacs
Randolph L. Braham,2017,Budapest,Randolph L. Braham
Pavel Rovinsky,1868,Budapest,Pavel Rovinsky
Adolf Büchler,1892,Budapest,Adolf Büchler
Ignác Acsády,1906,Budapest,Ignác Acsády
Gábor Klaniczay,1950,Budapest,Gábor Klaniczay
Gábor Klaniczay,1974,Budapest,Gábor Klaniczay
Gábor Klaniczay,1992,Budapest,Gábor Klaniczay
Gabor Boritt,1940,Budapest,Gabor Boritt
Nicholas Nagy-Talavera,1955,Budapest,Nicholas Nagy-Talavera
Domokos Kosáry,2007,Budapest,Domokos Kosáry
Mieczysław B. Biskupski,1997,Budapest,Mieczysław B. Biskupski
Jacob Katz,1927,Budapest,Jacob Katz
Thomas Molnar,1921,Budapest,Thomas Molnar
Géza Alföldy,1957,Budapest,Géza Alföldy
Jakob Bleyer,1919,Budapest,Jakob Bleyer
Claudia Wiesemann,1978,Studienstiftung des Deutschen Volkes,Claudia Wiesemann
John Russell Bartlett,1805,Providence,John Russell Bartlett
John Russell Bartlett,1824,Providence,John Russell Bartlett
John M. Barry,1968,Providence,John M. Barry
Joshua Toulmin,1769,Providence,Joshua Toulmin
Reuben Guild,1899,Providence,Reuben Guild
Richard Eddy (clergyman),1828,Providence,Richard Eddy (clergyman)
Thomas W. Bicknell,1925,Providence,Thomas W. Bicknell
Wilfred Harold Munro,1934,Providence,Wilfred Harold Munro
Glen Bowersock,1936,Providence,Glen Bowersock
John Russell Bartlett,1807,Kingston,John Russell Bartlett
Herman Churchill,1941,Kingston,Herman Churchill
Philip Sugden,1947,Kingston,Philip Sugden
Colin A. Palmer,2019,Kingston,Colin A. Palmer
George Stanley,1820,Kingston,George Stanley
Paula Fredriksen,1951,Kingston,Paula Fredriksen
Yasmin Khan,1977,Kingston,Yasmin Khan
Daniel Woolf,2009,Kingston,Daniel Woolf
J. H. Parry,1956,Kingston,J. H. Parry
Lubomyr Luciuk,2019,Kingston,Lubomyr Luciuk
Richard Pierce (historian),1959,Kingston,Richard Pierce (historian)
W. Roger Graham,1984,Kingston,W. Roger Graham
W. Roger Graham,1988,Kingston,W. Roger Graham
William D. Metz,2013,Kingston,William D. Metz
John Russell Bartlett,1831,Pawtuxet,John Russell Bartlett
George Phillips (canon lawyer),1824,Göttingen,George Phillips (canon lawyer)
Helmut Coing,1968,Göttingen,Helmut Coing
Rudolf Vierhaus,1971,Göttingen,Rudolf Vierhaus
Ernst Götzinger,1860,Göttingen,Ernst Götzinger
Ernst Rudolf Huber,1956,Göttingen,Ernst Rudolf Huber
Hans von Campenhausen,1930,Göttingen,Hans von Campenhausen
Hans-Christof Kraus,1978,Göttingen,Hans-Christof Kraus
Waldemar R. Röhrbein,1967,Göttingen,Waldemar R. Röhrbein
Johann Jakob Schmauss,1734,Göttingen,Johann Jakob Schmauss
Jan-Otmar Hesse,1987,Göttingen,Jan-Otmar Hesse
Jens-Christian Wagner,2020,Göttingen,Jens-Christian Wagner
Otto Eger,1895,Göttingen,Otto Eger
Arnold Hermann Ludwig Heeren,1779,Göttingen,Arnold Hermann Ludwig Heeren
Arnold Hermann Ludwig Heeren,1784,Göttingen,Arnold Hermann Ludwig Heeren
Uwe Walter,1983,Göttingen,Uwe Walter
Uwe Walter,1992,Göttingen,Uwe Walter
Johann Philipp Murray,1776,Göttingen,Johann Philipp Murray
Szymon Askenazy,1893,Göttingen,Szymon Askenazy
Johann Lorenz von Mosheim,1755,Göttingen,Johann Lorenz von Mosheim
Georg Waitz,1849,Göttingen,Georg Waitz
Heinrich Leo,1808,Göttingen,Heinrich Leo
Paul Jacobsthal,1912,Göttingen,Paul Jacobsthal
Hans Heinrich Schaeder,1957,Göttingen,Hans Heinrich Schaeder
Rudolf Usinger,1865,Göttingen,Rudolf Usinger
Otto Lauffer,1891,Göttingen,Otto Lauffer
Walther Hubatsch,1949,Göttingen,Walther Hubatsch
Karl Heinrich Lang,1792,Göttingen,Karl Heinrich Lang
Alf Lüdtke,1975,Göttingen,Alf Lüdtke
Karl Heinz Göller,1967,Göttingen,Karl Heinz Göller
Georg Busolt,1920,Göttingen,Georg Busolt
Julius Epstein (writer),1938,Europe,Julius Epstein (writer)
Heinrich Srbik,1933,Europe,Heinrich Srbik
Hiraizumi Kiyoshi,1930,Europe,Hiraizumi Kiyoshi
Philip Schaff,1854,Europe,Philip Schaff
Philip Schaff,1873,Europe,Philip Schaff
Robert Paxton,1932,Europe,Robert Paxton
Donald F. Durnbaugh,1952,Europe,Donald F. Durnbaugh
Jenő Szűcs,1928,Europe,Jenő Szűcs
George Ticknor,1836,Europe,George Ticknor
Andrey Baykov,2009,Europe,Andrey Baykov
Jessie Webb,1936,Europe,Jessie Webb
W. E. B. Du Bois,1895,Europe,W. E. B. Du Bois
W. E. B. Du Bois,1919,Europe,W. E. B. Du Bois
W. E. B. Du Bois,1921,Europe,W. E. B. Du Bois
W. E. B. Du Bois,1923,Europe,W. E. B. Du Bois
Alice Mary Baldwin,1903,Europe,Alice Mary Baldwin
Willem de Blécourt,1951,Europe,Willem de Blécourt
James Harvey Robinson,1882,Europe,James Harvey Robinson
Jonathan Steinberg,1789,Europe,Jonathan Steinberg
Max Grünbaum,1870,Europe,Max Grünbaum
Newton Arvin,1929,Europe,Newton Arvin
Éric Toussaint,2010,Europe,Éric Toussaint
Christopher Lloyd (world history author),2006,Europe,Christopher Lloyd (world history author)
José de la Riva-Agüero y Osma,1919,Europe,José de la Riva-Agüero y Osma
Anne S. K. Brown,1930,Europe,Anne S. K. Brown
Marek Zvelebil,1991,Europe,Marek Zvelebil
Miomir Dašić,1958,Europe,Miomir Dašić
Lucy Dawidowicz,1946,Europe,Lucy Dawidowicz
William Chaney,1985,Europe,William Chaney
Nicolae Iorga,1935,Europe,Nicolae Iorga
Joel Hayward,2007,Europe,Joel Hayward
Anders Sørensen Vedel,1562,Europe,Anders Sørensen Vedel
Israel Beer,1958,Europe,Israel Beer
John Adam Cramb,1887,Europe,John Adam Cramb
Henry Adams,1860,Europe,Henry Adams
Alexander Bickel,1950,Europe,Alexander Bickel
Alexander Sutherland (educator),1902,Europe,Alexander Sutherland (educator)
Alfonso Falero,1990,Europe,Alfonso Falero
Allen Johnson (historian),1895,Europe,Allen Johnson (historian)
Arthur Jose,1927,Europe,Arthur Jose
Andrew Dickson White,1922,Europe,Andrew Dickson White
Andrew Dickson White,1887,Europe,Andrew Dickson White
Charles Washington Baird,1835,Europe,Charles Washington Baird
David Kranzler,1987,Europe,David Kranzler
Elisabeth Anthony Dexter,1942,Europe,Elisabeth Anthony Dexter
Frank Lawrence Owsley,1956,Europe,Frank Lawrence Owsley
Jean-Baptiste Labat,1706,Europe,Jean-Baptiste Labat
Henry Martyn Baird,1832,Europe,Henry Martyn Baird
Hugh Tootell,1698,Europe,Hugh Tootell
Isaac Schomberg,1778,Europe,Isaac Schomberg
Isaac Schomberg,1786,Europe,Isaac Schomberg
Jacques de Caso,1928,Europe,Jacques de Caso
James L. Barker,1904,Europe,James L. Barker
John Foster Kirk,1850,Europe,John Foster Kirk
Archibald Gracie IV,1912,Europe,Archibald Gracie IV
Kenneth Setton,1914,Europe,Kenneth Setton
Ludwig von Pastor,1881,Europe,Ludwig von Pastor
Larry Portis,1977,Europe,Larry Portis
Larry Portis,1981,Europe,Larry Portis
Vladimir Beneshevich,1900,Europe,Vladimir Beneshevich
Martin Haverty,1851,Europe,Martin Haverty
Michael Flinn,1980,Europe,Michael Flinn
John Lothrop Motley,1851,Europe,John Lothrop Motley
Guglielmo Ferrero,1897,Europe,Guglielmo Ferrero
Friedrich Ludwig Georg von Raumer,1816,Europe,Friedrich Ludwig Georg von Raumer
Olwen Hufton,1991,Europe,Olwen Hufton
Pedro Chirino,1602,Europe,Pedro Chirino
Peter Paret,1949,Europe,Peter Paret
Reinhold Rau,1971,Europe,Reinhold Rau
Rick Atkinson,1996,Europe,Rick Atkinson
Robert Knecht,1950,Europe,Robert Knecht
Robert S. Wistrich,1974,Europe,Robert S. Wistrich
Paul Jacobsthal,1956,Europe,Paul Jacobsthal
Ludwig Riess,1893,Europe,Ludwig Riess
Stephen Henry Roberts,1971,Europe,Stephen Henry Roberts
Wilbur Henry Siebert,1909,Europe,Wilbur Henry Siebert
Jerzy Jan Lerski,1945,Europe,Jerzy Jan Lerski
Maria Todorova,2022,Europe,Maria Todorova
José María Jover,1960,Europe,José María Jover
Salo Wittmayer Baron,1947,Europe,Salo Wittmayer Baron
Herbert Baxter Adams,1873,Europe,Herbert Baxter Adams
Nicholas Adontz,1901,Europe,Nicholas Adontz
Fiske Kimball,1911,Europe,Fiske Kimball
Anna J. Cooper,1900,Europe,Anna J. Cooper
Felix Gilbert,1962,Princeton,Felix Gilbert
Wolf Liebeschuetz,1993,Princeton,Wolf Liebeschuetz
Otto Pflanze,1970,Princeton,Otto Pflanze
George F. Kennan,2004,Princeton,George F. Kennan
George F. Kennan,2005,Princeton,George F. Kennan
Heinrich von Staden (historian),1998,Princeton,Heinrich von Staden (historian)
Ephraim Isaac,2010,Princeton,Ephraim Isaac
Jeffrey Herf,2007,Princeton,Jeffrey Herf
Jan-Werner Müller,2005,Princeton,Jan-Werner Müller
M. Norton Wise,1991,Princeton,M. Norton Wise
John Shy,1959,Princeton,John Shy
Benjamin A. Elman,2002,Princeton,Benjamin A. Elman
Kerry Downes,1930,Princeton,Kerry Downes
Peniel E. Joseph,2020,Princeton,Peniel E. Joseph
Jonathan Israel,2001,Princeton,Jonathan Israel
Margalit Finkelberg,2006,Princeton,Margalit Finkelberg
Marina Rustow,2010,Princeton,Marina Rustow
Josep Maria Fradera,1987,Princeton,Josep Maria Fradera
Dipesh Chakrabarty,2002,Princeton,Dipesh Chakrabarty
Elaine Pagels,1974,Princeton,Elaine Pagels
Kenneth Maxwell,1971,Princeton,Kenneth Maxwell
Patricia Crone,1997,Princeton,Patricia Crone
Durand Echeverria,1933,Princeton,Durand Echeverria
Durand Echeverria,1950,Princeton,Durand Echeverria
Gerald L. Geison,1970,Princeton,Gerald L. Geison
Marshall Clagett,1963,Princeton,Marshall Clagett
Marshall Clagett,1964,Princeton,Marshall Clagett
Albert J. Raboteau,2021,Princeton,Albert J. Raboteau
Menachem Lorberbaum,1993,Princeton,Menachem Lorberbaum
Archibald Ross Lewis,1936,Princeton,Archibald Ross Lewis
Judith Weisenfeld,1992,Princeton,Judith Weisenfeld
Tera Hunter,2007,Princeton,Tera Hunter
John Elliott (historian),1973,Princeton,John Elliott (historian)
Brian Tierney (medievalist),1955,Princeton,Brian Tierney (medievalist)
Bernard Lewis,1974,Princeton,Bernard Lewis
Bernard Lewis,1986,Princeton,Bernard Lewis
Andrew Lintott,1990,Princeton,Andrew Lintott
Constant Mews,1990,Princeton,Constant Mews
Daniel Kevles,1960,Princeton,Daniel Kevles
Daniel Woolf,1996,Princeton,Daniel Woolf
Karina Urbach,2015,Princeton,Karina Urbach
Douglas Greenberg,1986,Princeton,Douglas Greenberg
E. Harris Harbison,1933,Princeton,E. Harris Harbison
Elio Lo Cascio,2009,Princeton,Elio Lo Cascio
Robert Roswell Palmer,1977,Princeton,Robert Roswell Palmer
Gilbert Chinard,1972,Princeton,Gilbert Chinard
Heath W. Lowry,1996,Princeton,Heath W. Lowry
Kathryn M. Rudy,2001,Princeton,Kathryn M. Rudy
Ivo John Lederer,1929,Princeton,Ivo John Lederer
Jeremy Adelman,1960,Princeton,Jeremy Adelman
John Berrien Lindsley,1822,Princeton,John Berrien Lindsley
John M. Cooper (historian),1962,Princeton,John M. Cooper (historian)
Kenneth Setton,1968,Princeton,Kenneth Setton
Louis Leo Snyder,1993,Princeton,Louis Leo Snyder
Mark Gregory Pegg,1997,Princeton,Mark Gregory Pegg
Michael Bonner,1987,Princeton,Michael Bonner
Norman Itzkowitz,1975,Princeton,Norman Itzkowitz
James M. McPherson,1962,Princeton,James M. McPherson
Peter Paret,1961,Princeton,Peter Paret
Peter Paret,1986,Princeton,Peter Paret
Ralph Pugh,1963,Princeton,Ralph Pugh
Richard W. Kaeuper,1967,Princeton,Richard W. Kaeuper
Samuel H. Moffett,2015,Princeton,Samuel H. Moffett
Sheldon Hackney,1972,Princeton,Sheldon Hackney
Golo Mann,1939,Princeton,Golo Mann
Valerie Flint,1999,Princeton,Valerie Flint
William W. Hagen,1996,Princeton,William W. Hagen
Géza Alföldy,1986,Princeton,Géza Alföldy
Elias Avery Lowe,1936,Princeton,Elias Avery Lowe
Harold James (historian),1964,Princeton,Harold James (historian)
Yu Ying-shih,1987,Princeton,Yu Ying-shih
Yu Ying-shih,2001,Princeton,Yu Ying-shih
Yu Ying-shih,2021,Princeton,Yu Ying-shih
Peter Brown (historian),1975,Princeton,Peter Brown (historian)
Peter Brown (historian),2000,Princeton,Peter Brown (historian)
Peter Brown (historian),1991,Princeton,Peter Brown (historian)
Robert Darnton,2007,Princeton,Robert Darnton
Lawrence Stone,1999,Princeton,Lawrence Stone
Placidus Braun,1756,Peiting,Placidus Braun
Colin François Lloyd Austin,1941,Melbourne,Colin François Lloyd Austin
Andreas Loewe,2009,Melbourne,Andreas Loewe
Andreas Loewe,2012,Melbourne,Andreas Loewe
Jessie Webb,1896,Melbourne,Jessie Webb
William Bramwell Withers,1952,Melbourne,William Bramwell Withers
Robin Jeffrey,1979,Melbourne,Robin Jeffrey
Warwick Anderson,1999,Melbourne,Warwick Anderson
Andrew McGowan,1961,Melbourne,Andrew McGowan
Andrew McGowan,1986,Melbourne,Andrew McGowan
Clare Wright,2014,Melbourne,Clare Wright
Paul R. Bartrop,1977,Melbourne,Paul R. Bartrop
Paul R. Bartrop,1997,Melbourne,Paul R. Bartrop
Christopher Snedden,2001,Melbourne,Christopher Snedden
Alan Ward (historian),1987,Melbourne,Alan Ward (historian)
Manning Clark,1922,Melbourne,Manning Clark
Edward Duyker,1955,Melbourne,Edward Duyker
Sheila Fitzpatrick,1941,Melbourne,Sheila Fitzpatrick
A. G. L. Shaw,1916,Melbourne,A. G. L. Shaw
Antony Preston,1961,Melbourne,Antony Preston
Geoffrey Serle,1922,Melbourne,Geoffrey Serle
George William Rusden,1903,Melbourne,George William Rusden
Miriam Dixson,1930,Melbourne,Miriam Dixson
Barbara Keys,2006,Melbourne,Barbara Keys
Humphrey McQueen,1967,Melbourne,Humphrey McQueen
John Hirst (historian),1968,Melbourne,John Hirst (historian)
Kathleen Fitzpatrick (Australian academic),1933,Melbourne,Kathleen Fitzpatrick (Australian academic)
Kathleen Fitzpatrick (Australian academic),1964,Melbourne,Kathleen Fitzpatrick (Australian academic)
Ken Inglis,1929,Melbourne,Ken Inglis
Ken Inglis,2008,Melbourne,Ken Inglis
Max Crawford,1991,Melbourne,Max Crawford
Peter Cochrane (historian),1950,Melbourne,Peter Cochrane (historian)
Ray Parkin,1910,Melbourne,Ray Parkin
Ray Parkin,2005,Melbourne,Ray Parkin
Ross Fitzgerald,1944,Melbourne,Ross Fitzgerald
Ross Terrill,1938,Melbourne,Ross Terrill
Ross Terrill,1956,Melbourne,Ross Terrill
Ursula Hoff,1942,Melbourne,Ursula Hoff
Weston Bate,1924,Melbourne,Weston Bate
William Westgarth,1850,Melbourne,William Westgarth
Siu-Leung Lee,1943,Hong Kong,Siu-Leung Lee
Nathaniel Crosby (captain),1856,Hong Kong,Nathaniel Crosby (captain)
Xu Fuguan,1982,Hong Kong,Xu Fuguan
George Beer Endacott,1901,Hong Kong,George Beer Endacott
Jian Youwen,1949,Hong Kong,Jian Youwen
Jian Youwen,1978,Hong Kong,Jian Youwen
Ch'ien Mu,1949,Hong Kong,Ch'ien Mu
Li Wenhai (historian),1932,Renmin University of China,Li Wenhai (historian)
Meng Xianshi,1962,Renmin University of China,Meng Xianshi
Meng Xianshi,2002,Renmin University of China,Meng Xianshi
Li Wenhai (historian),1955,Renmin University,Li Wenhai (historian)
Li Tao (historian),1132,Mei Prefecture,Li Tao (historian)
Li Tao (historian),1147,Ya Prefecture,Li Tao (historian)
Li Tao (historian),1184,Lin'an,Li Tao (historian)
Karl-Wilhelm Welwei,1930,Witten,Karl-Wilhelm Welwei
Albert Stankowski,1941,Szczecin,Albert Stankowski
Albert Stankowski,1990,Kołobrzeg,Albert Stankowski
Albert Stankowski,2000,Kołobrzeg,Albert Stankowski
Albert Stankowski,2001,the University of Warsaw,Albert Stankowski
Vikentiy Khmelevskiy,1860,the University of Warsaw,Vikentiy Khmelevskiy
Vikentiy Khmelevskiy,1901,the University of Warsaw,Vikentiy Khmelevskiy
Stefan Czarnowski,1879,the University of Warsaw,Stefan Czarnowski
Stefan Czarnowski,1926,the University of Warsaw,Stefan Czarnowski
Stefan Czarnowski,1934,the University of Warsaw,Stefan Czarnowski
Aleksander Gieysztor,1937,the University of Warsaw,Aleksander Gieysztor
Oskar Halecki,1939,the University of Warsaw,Oskar Halecki
Dariusz Kołodziejczyk,1962,the University of Warsaw,Dariusz Kołodziejczyk
Andrzej Ajnenkiel,1949,the University of Warsaw,Andrzej Ajnenkiel
Kazimierz Zakrzewski,1900,the University of Warsaw,Kazimierz Zakrzewski
Michał Sczaniecki,1965,the University of Warsaw,Michał Sczaniecki
Stanisław Arnold,1895,the University of Warsaw,Stanisław Arnold
Zdzisław Spieralski,1963,the University of Warsaw,Zdzisław Spieralski
Stanisław Herbst,1926,the University of Warsaw,Stanisław Herbst
Stanisław Herbst,1946,the University of Warsaw,Stanisław Herbst
Bogusław Leśnodorski,1914,the University of Warsaw,Bogusław Leśnodorski
Stanisław Salmonowicz,1959,the University of Warsaw,Stanisław Salmonowicz
Urszula Augustyniak,1973,the University of Warsaw,Urszula Augustyniak
Hienadź Sahanovič,2018,the University of Warsaw,Hienadź Sahanovič
Albert Stankowski,2003,Warsaw,Albert Stankowski
Kajetonas Nezabitauskis,1825,Warsaw,Kajetonas Nezabitauskis
Jerzy Kolendo,1955,Warsaw,Jerzy Kolendo
Aleksander Kamiński,1942,Warsaw,Aleksander Kamiński
Aleksander Kamiński,1944,Warsaw,Aleksander Kamiński
Anita Shapira,1940,Warsaw,Anita Shapira
Isacque Graeber,1905,Warsaw,Isacque Graeber
Jerzy Holzer,1930,Warsaw,Jerzy Holzer
Jerzy Holzer,2015,Warsaw,Jerzy Holzer
Władysław Konopczyński,1880,Warsaw,Władysław Konopczyński
Władysław Konopczyński,1889,Warsaw,Władysław Konopczyński
Władysław Konopczyński,1891,Warsaw,Władysław Konopczyński
Władysław Konopczyński,1906,Warsaw,Władysław Konopczyński
Władysław Konopczyński,1926,Warsaw,Władysław Konopczyński
Jan Grabowski,2013,Warsaw,Jan Grabowski
Jan Grabowski,2018,Warsaw,Jan Grabowski
Jan Grabowski,3023,Warsaw,Jan Grabowski
Jacek Leociak,1957,Warsaw,Jacek Leociak
Jacek Leociak,1996,Warsaw,Jacek Leociak
Longin Pastusiak,1963,Warsaw,Longin Pastusiak
Romuald Hube,1826,Warsaw,Romuald Hube
Szymon Datner,1940,Warsaw,Szymon Datner
Szymon Datner,1989,Warsaw,Szymon Datner
Rafał Górski,1989,Warsaw,Rafał Górski
Paweł Jasienica,1970,Warsaw,Paweł Jasienica
Jacek Jędruch,1927,Warsaw,Jacek Jędruch
Adam Rayski,1950,Warsaw,Adam Rayski
Adam Rayski,1956,Warsaw,Adam Rayski
Wacław Jędrzejewicz,1994,Warsaw,Wacław Jędrzejewicz
Julian Bartoszewicz,1854,Warsaw,Julian Bartoszewicz
Adam Maurizio,1927,Warsaw,Adam Maurizio
Anna Świderkówna,2008,Warsaw,Anna Świderkówna
Jan Władysław Woś,1939,Warsaw,Jan Władysław Woś
Władysław Bartoszewski,1939,Warsaw,Władysław Bartoszewski
Władysław Bartoszewski,1940,Warsaw,Władysław Bartoszewski
Władysław Bartoszewski,1944,Warsaw,Władysław Bartoszewski
Władysław Bartoszewski,1945,Warsaw,Władysław Bartoszewski
Władysław Bartoszewski,2006,Warsaw,Władysław Bartoszewski
Zdzisław Najder,1930,Warsaw,Zdzisław Najder
Klaus Bachmann,2000,Warsaw,Klaus Bachmann
